Date,Open,High,Low,Close,Volume,Daily_Return,MA50,MA200,Volatility
2009-02-04,385.0,388.95,367.0,368.55,307096,-3.16605359957961,327.004,502.13875,4.746396273489263
2009-02-05,372.0,372.0,363.1,367.9,200590,-0.17636684303351524,328.599,500.93525,4.624584897052035
2009-02-06,372.0,379.5,370.0,375.2,244915,1.9842348464256698,330.39,499.76025000000004,4.623811781212891
2009-02-09,375.55,387.5,375.35,385.5,177584,2.7452025586353956,332.48199999999997,498.475,4.620869559062448
2009-02-10,386.0,403.0,374.0,376.45,339949,-2.3476005188067472,334.50300000000004,497.17025,4.62583170571858
2009-02-11,374.0,378.0,365.0,371.6,122130,-1.2883517067339478,336.566,495.8965,4.611384130411718
2009-02-12,371.2,379.7,366.0,367.4,191178,-1.1302475780409216,338.755,494.50775,4.570563073568713
2009-02-13,373.0,378.0,366.55,368.3,158836,0.24496461622212085,340.80800000000005,493.02,4.560354275814335
2009-02-16,372.7,372.7,356.75,358.55,151292,-2.6472983980450726,342.79,491.47925000000004,4.564898402656405
2009-02-17,355.0,357.0,344.0,345.95,91113,-3.514154232324651,344.458,489.88275,4.603898760159135
2009-02-18,340.0,346.7,333.0,334.15,123069,-3.4108975285445875,345.735,487.99274999999994,4.626958064680395
2009-02-19,334.0,356.7,332.0,352.0,473586,5.3419123148286785,347.38699999999994,486.0705,4.674800630019381
2009-02-20,348.0,361.5,347.0,351.25,370436,-0.21306818181817677,349.10699999999997,484.12375,4.665926201827339
2009-02-24,341.55,359.0,341.55,346.2,243982,-1.437722419928833,350.443,482.05400000000003,4.6257748719710765
2009-02-25,352.0,354.0,343.0,345.25,230475,-0.27440785673020773,351.66299999999995,479.94700000000006,4.6238252442266985
2009-02-26,343.8,348.8,340.0,345.1,215832,-0.04344677769730909,352.91200000000003,477.90049999999997,4.621992588359287
2009-02-27,341.25,346.6,337.3,341.65,391513,-0.9997102289191706,353.881,475.81925,4.6028864743728946
2009-03-02,333.3,339.45,307.0,316.35,458583,-7.405239279964859,353.78700000000003,473.5585,4.541837658694848
2009-03-03,301.2,316.65,301.2,306.6,126340,-3.082029397818875,353.764,471.184,4.5242107112000225
2009-03-04,305.15,319.0,291.25,314.0,469254,2.4135681669928077,353.756,468.83525000000003,4.526712276998336
2009-03-05,303.2,319.9,300.5,310.8,195189,-1.0191082802547768,353.561,466.3515,4.5212970948767985
2009-03-06,301.5,312.25,301.5,309.8,137502,-0.3217503217503248,353.52299999999997,463.93625,4.503636271166091
2009-03-09,305.4,313.4,295.0,297.9,98733,-3.8411878631375185,353.288,461.47974999999997,4.536718493383854
2009-03-12,302.85,304.5,294.25,297.9,146086,0.0,352.99,459.015,4.534437048515721
2009-03-13,301.0,314.4,301.0,311.7,131526,4.632426988922456,353.115,456.6955,4.567983820481361
2009-03-16,313.0,316.4,308.1,312.2,87139,0.16041065126723986,353.04400000000004,453.83625,4.544121857289872
2009-03-17,313.0,326.0,308.5,310.35,226884,-0.5925688661114537,352.857,450.88125,4.541867631607127
2009-03-18,313.0,332.0,313.0,326.6,290448,5.236023844047044,352.88300000000004,448.09225,4.595107280242482
2009-03-19,328.0,334.4,311.0,312.65,258604,-4.27127985303124,352.46,445.38725,4.6215877095474
